ID,Loci,Reads,Condition
1,A,1158,above
1,A,925,below
1,B,2885,above
1,B,80,below
1,DQA,44560,above
1,DQA,170,below
1,DRB,8715,above
1,DRB,86,below
2,A,1097,above
2,A,992,below
2,B,1453,above
2,B,106,below
2,DQA,1732,above
2,DQA,81,below
2,DRB,9467,above
2,DRB,97,below
3,A,1046,above
3,A,769,below
3,B,2746,above
3,B,288,below
3,DQA,11816,above
3,DQA,92,below
3,DRB,5996,above
3,DRB,180,below
4,A,1443,above
4,A,18,below
4,B,2565,above
4,B,66,below
4,DQA,44150,above
4,DQA,116,below
4,DRB,6597,above
4,DRB,115,below
5,A,1023,above
5,A,534,below
5,B,2458,above
5,B,472,below
5,DQA,47529,above
5,DQA,176,below
5,DRB,3688,above
5,DRB,280,below
6,A,1513,above
6,A,910,below
6,B,1954,above
6,B,168,below
6,DQA,7954,above
6,DQA,79,below
6,DRB,5159,above
6,DRB,324,below
7,A,1388,above
7,A,755,below
7,B,1949,above
7,B,100,below
7,DQA,94688,above
7,DQA,837,below
7,DRB,4969,above
7,DRB,439,below
8,A,1842,above
8,A,587,below
8,B,1120,above
8,B,672,below
8,DQA,99943,above
8,DQA,101,below
8,DRB,7205,above
8,DRB,377,below
9,A,1654,above
9,A,998,below
9,B,1075,above
9,B,140,below
9,DQA,108710,above
9,DQA,103,below
9,DRB,18037,above
9,DRB,439,below
10,A,1356,above
10,A,697,below
10,B,1825,above
10,B,412,below
10,DQA,117717,above
10,DQA,943,below
10,DRB,4145,above
10,DRB,400,below
11,A,1254,above
11,A,993,below
11,B,2686,above
11,B,75,below
11,DQA,13174,above
11,DQA,86,below
11,DRB,5872,above
11,DRB,46,below
12,A,1348,above
12,A,86,below
12,B,6094,above
12,B,827,below
12,DQA,5259,above
12,DQA,275,below
12,DRB,4750,above
12,DRB,41,below
13,A,2133,above
13,A,287,below
13,B,4966,above
13,B,450,below
13,DQA,105659,above
13,DQA,205,below
13,DRB,63839,above
13,DRB,60,below
14,A,1005,above
14,A,802,below
14,B,1848,above
14,B,331,below
14,DQA,111432,above
14,DQA,111,below
14,DRB,4367,above
14,DRB,36,below
15,A,1081,above
15,A,900,below
15,B,2955,above
15,B,250,below
15,DQA,15094,above
15,DQA,222,below
15,DRB,4204,above
15,DRB,58,below
16,A,1793,above
16,A,855,below
16,B,1046,above
16,B,290,below
16,DQA,94641,above
16,DQA,400,below
16,DRB,6643,above
16,DRB,30,below
17,A,1341,above
17,A,223,below
17,B,2761,above
17,B,395,below
17,DQA,3935,above
17,DQA,105,below
17,DRB,6512,above
17,DRB,85,below
18,A,1327,above
18,A,71,below
18,B,1282,above
18,B,407,below
18,DQA,146333,above
18,DQA,133,below
18,DRB,5398,above
18,DRB,64,below
19,A,1093,above
19,A,816,below
19,B,2089,above
19,B,120,below
19,DQA,52087,above
19,DQA,182,below
19,DRB,6243,above
19,DRB,72,below
20,A,1393,above
20,A,780,below
20,B,2340,above
20,B,173,below
20,DQA,1528,above
20,DQA,90,below
20,DRB,8183,above
20,DRB,41,below
21,A,1003,above
21,A,63,below
21,B,4084,above
21,B,989,below
21,DQA,118808,above
21,DQA,161,below
21,DRB,12995,above
21,DRB,40,below
22,A,1628,above
22,A,979,below
22,B,2767,above
22,B,226,below
22,DQA,136657,above
22,DQA,108,below
22,DRB,14810,above
22,DRB,62,below